758,224,180.2480321281565
888,230,177.9726772994998
985,243,149.72744588063335
1052,294,123.75960120484456
1112,373,98.84665168804118
1108,462,88.51854282911282
1093,648,81.00756156725112
1047,833,68.68208772453845
973,933,61.741970385293115
745,981,24.623564786163612
552,987,-3.061029799417655
387,967,-12.171458208587472
211,918,-34.902495615924714
167,874,-61.127575825959816
156,816,-86.34777721969363
136,724,-82.10423490570624
117,592,-88.1523897340053
101,483,-90
84,399,265.4775458535981
100,343,254.5387822595581
137,278,236.94417718844633
200,235,213.47096427464572
289,222,191.8367753678627
392,206,184.03771062097712
515,204,183.64627120875684
630,194,180.82632413972925
END,733,291,125,227
