932,569,0
957,571,-26.035774966876648
958,573,-67.60403301157874
957,573,263.9382112112714
957,571,232.59464336859145
954,571,195.37625124882618
934,571,180
870,571,194.41359770118493
820,576,197.7232366168863
754,593,214.53466157139934
705,636,227.90505504666447
684,695,244.87217581924392
680,739,256.42054691831095
675,771,254.23580456870002
676,784,231.24837166503823
676,782,197.54132628848316
674,782,169.36278549070994
674,770,140.15558431740624
672,752,126.10258933075431
664,720,111.85421664145751
644,670,127.02672876742963
618,627,138.55785186611809
570,596,148.07912378006682
534,580,150.8220732770878
501,572,151.68364505672778
455,569,160.79367358170455
443,570,124.97100193849153
443,569,93.07745539942441
443,570,65.40988283380399
443,569,37.00647850636021
445,571,-1.0877638403840888
501,571,-3.667788055531428
590,575,-4.014175695411026
671,575,0.345151123164125
749,573,-2.997042580283685
821,572,-0.6193897032181166
END,900,509,292,453
