726,472,180
754,464,201.4311672762332
778,434,225.65854317756362
801,375,229.79679896683555
833,323,229.23639479905884
901,269,215.15707780320759
1018,227,184.05168383782845
1143,238,153.99665415548856
1242,314,127.31327831853164
1091,464,-87.62503848423867
1079,506,249.5504523892074
1033,598,242.55184682143528
976,693,237.23150092123018
924,775,230.0956999195586
832,856,208.84266013541207
734,884,185.5801533411958
662,867,174.34292929393166
571,837,157.84303616236178
471,787,145.2221686336361
402,733,130.1747830728902
340,666,123.75960120484456
306,612,116.56505117707799
295,552,91.54815769897797
301,499,72.2812111225484
345,448,43.054853238585714
403,439,-4.014175695411026
442,454,-38.29016319224307
495,507,-43.895259632849566
565,578,-32.37553999321202
END,680,579,106,222
